Route,Grade,Grade band,Discipline,Grade system,Area,Wall,Source,Latitude,Longitude,Row Key,Notion Page ID,Status
Thalistrophal,7+,5-7,sport,UIAA,Hocheck,Ostplatte,Österreich Ost,,,Hocheck | Ostplatte | Thalistrophal,,to create
Thalitastisch,7-,5-7,sport,UIAA,Hocheck,Ostplatte,Österreich Ost,,,Hocheck | Ostplatte | Thalitastisch,,to create
Thaliriss,7,5-7,sport,UIAA,Hocheck,Ostplatte,Österreich Ost,,,Hocheck | Ostplatte | Thaliriss,,to create
Thaliplatte,7,5-7,sport,UIAA,Hocheck,Ostplatte,Österreich Ost,,,Hocheck | Ostplatte | Thaliplatte,,to create
Schokoladenbauer,7,5-7,sport,UIAA,Hocheck,Ostplatte,Österreich Ost,,,Hocheck | Ostplatte | Schokoladenbauer,,to create
Schokokamin,6+,5-7,sport,UIAA,Hocheck,Ostplatte,Österreich Ost,,,Hocheck | Ostplatte | Schokokamin,,to create
Schoko Intensiv,6+,5-7,sport,UIAA,Hocheck,Ostplatte,Österreich Ost,,,Hocheck | Ostplatte | Schoko Intensiv,,to create
"Es geht weiter, Schoko",6,5-7,sport,UIAA,Hocheck,Ostplatte,Österreich Ost,,,"Hocheck | Ostplatte | Es geht weiter, Schoko",,to create
Schokoladenpudding,5,5-7,sport,UIAA,Hocheck,Ostplatte,Österreich Ost,,,Hocheck | Ostplatte | Schokoladenpudding,,to create
Fels-Sturz,6,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Fels-Sturz,,to create
Leisten-Bruch,6,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Leisten-Bruch,,to create
Notnagel,6,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Notnagel,,to create
Sargnagel,6+,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Sargnagel,,to create
Staubwedel,7+,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Staubwedel,,to create
Palmwedel,7+,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Palmwedel,,to create
Osterbraten,7-,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Osterbraten,,to create
Osterhasi,6,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Osterhasi,,to create
Osterei,8,8-11,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Osterei,,to create
Gänsehaut,7,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Gänsehaut,,to create
Gruselkabinett,7-,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Gruselkabinett,,to create
Ostwandschocker,8,8-11,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Ostwandschocker,,to create
Teamarbeit,8+,8-11,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Teamarbeit,,to create
Gastarbeiter,8,8-11,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Gastarbeiter,,to create
Die Perle des Ostens,9-,8-11,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Die Perle des Ostens,,to create
Abyss,9-,8-11,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Abyss,,to create
Sphere,8+,8-11,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Sphere,,to create
Nichtraucherzone,8+,8-11,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Nichtraucherzone,,to create
Hobby Extra,11-,8-11,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Hobby Extra,,to create
Ein Wixer in der Arktis,10+,8-11,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Ein Wixer in der Arktis,,to create
A rechte Verzweiflung,9-,8-11,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | A rechte Verzweiflung,,to create
Grottenolm,7,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Grottenolm,,to create
Grottenmolch,6,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Grottenmolch,,to create
Skantele,5,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Skantele,,to create
Turmlos,5,5-7,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Turmlos,,to create
Turmsteigverschneidung,4,1-4,sport,UIAA,Hocheck,Obere Ostwand,Österreich Ost,,,Hocheck | Obere Ostwand | Turmsteigverschneidung,,to create
"Spinnen, die singen",3-,1-4,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Spinnen, die singen",,to create
"Geissen, die scheissen",3-,1-4,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Geissen, die scheissen",,to create
"Schnecken, die schlecken",3,1-4,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Schnecken, die schlecken",,to create
"Ziegen, die liegen",6+,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Ziegen, die liegen",,to create
"Zecken, die necken",7+,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Zecken, die necken",,to create
"Asseln, die rasseln",7+,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Asseln, die rasseln",,to create
"Wanzen, die tanzen",7+,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Wanzen, die tanzen",,to create
"Hasen, die grasen",6,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Hasen, die grasen",,to create
Mäuse mit Läuse,6,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,Hocheck | Unterer Nordgrat | Mäuse mit Läuse,,to create
"Affen, die gaffen",8,8-11,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Affen, die gaffen",,to create
"Schlangen, die sangen",7-,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Schlangen, die sangen",,to create
"Gimpeln, die pimpeln",5,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Gimpeln, die pimpeln",,to create
Herbstwind,5+,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,Hocheck | Unterer Nordgrat | Herbstwind,,to create
Kurze Schönheit,7-,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,Hocheck | Unterer Nordgrat | Kurze Schönheit,,to create
"Finken, die winken",6+/7-,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Finken, die winken",,to create
Raketenpfeiler,6,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,Hocheck | Unterer Nordgrat | Raketenpfeiler,,to create
"Ottern, die stottern",5-,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,"Hocheck | Unterer Nordgrat | Ottern, die stottern",,to create
Teppentraverse,7a trav,5-7,sport,UIAA,Hocheck,Unterer Nordgrat,Österreich Ost,,,Hocheck | Unterer Nordgrat | Teppentraverse,,to create
24 Std Arbeit = 2 min Klettern,,,sport,UIAA,Hocheck,Mittlerer Nordgrat,Österreich Ost,,,Hocheck | Mittlerer Nordgrat | 24 Std Arbeit = 2 min Klettern,,to create
Archeo Climb,7,5-7,sport,UIAA,Hocheck,Mittlerer Nordgrat,Österreich Ost,,,Hocheck | Mittlerer Nordgrat | Archeo Climb,,to create
AO = 00,8,8-11,sport,UIAA,Hocheck,Mittlerer Nordgrat,Österreich Ost,,,Hocheck | Mittlerer Nordgrat | AO = 00,,to create
Toridonia,7+,5-7,sport,UIAA,Hocheck,Mittlerer Nordgrat,Österreich Ost,,,Hocheck | Mittlerer Nordgrat | Toridonia,,to create
Hilfe Erwünscht,8,8-11,sport,UIAA,Hocheck,Mittlerer Nordgrat,Österreich Ost,,,Hocheck | Mittlerer Nordgrat | Hilfe Erwünscht,,to create
"Hennen, die rennen",8,8-11,sport,UIAA,Hocheck,Mittlerer Nordgrat,Österreich Ost,,,"Hocheck | Mittlerer Nordgrat | Hennen, die rennen",,to create
Wonderful World,7-,5-7,sport,UIAA,Hocheck,Mittlerer Nordgrat,Österreich Ost,,,Hocheck | Mittlerer Nordgrat | Wonderful World,,to create
Götterdiagonale,6,5-7,sport,UIAA,Hocheck,Mittlerer Nordgrat,Österreich Ost,,,Hocheck | Mittlerer Nordgrat | Götterdiagonale,,to create
Powerstation,7,5-7,sport,UIAA,Hocheck,Mittlerer Nordgrat,Österreich Ost,,,Hocheck | Mittlerer Nordgrat | Powerstation,,to create
"Meisen, die kreisen",6,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,"Hocheck | Oberer Nordgrat | Meisen, die kreisen",,to create
Fatal Diagonal,8-,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Fatal Diagonal,,to create
Space Cowboys,9+,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Space Cowboys,,to create
"Katzen, die kratzen",8+,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,"Hocheck | Oberer Nordgrat | Katzen, die kratzen",,to create
Abkürzung,6,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Abkürzung,,to create
Sports for Spinners,7+,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Sports for Spinners,,to create
Sports for Winners,7/7+,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Sports for Winners,,to create
Mentale Prellung,8,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Mentale Prellung,,to create
Indiana Jones,7,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Indiana Jones,,to create
Weird Nights,7-,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Weird Nights,,to create
More Junkie Than Monkey,8,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | More Junkie Than Monkey,,to create
Höllisch,9-,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Höllisch,,to create
Höhlisch,9+/10-,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Höhlisch,,to create
Foolish,8,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Foolish,,to create
Sondereinsatz,6+,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Sondereinsatz,,to create
Support Act,10-,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Support Act,,to create
Nimm ihn schlecht,9/9+,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Nimm ihn schlecht,,to create
Crux einer Freundschaft,8,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Crux einer Freundschaft,,to create
Stone Head,7,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Stone Head,,to create
Fingerschmalz,8+,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Fingerschmalz,,to create
Hirschschmalz,8+/9-,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Hirschschmalz,,to create
Sumito,9+/10-,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Sumito,,to create
Hausbesetzung,8+,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Hausbesetzung,,to create
Wie wird ihnen denn,9,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Wie wird ihnen denn,,to create
Hannes kann es,7+,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Hannes kann es,,to create
Jäger und Sammler,8-,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Jäger und Sammler,,to create
Schlangenmensch,8-/9-,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Schlangenmensch,,to create
Bösartiger Dachs,8,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Bösartiger Dachs,,to create
Gutmütiger Dachs,8-,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Gutmütiger Dachs,,to create
Dachsbau,7+/8,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Dachsbau,,to create
Schadenfreudiger Dachs,8-,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Schadenfreudiger Dachs,,to create
Im Angesicht des Dachses,8,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Im Angesicht des Dachses,,to create
Ganzer Dach(s)lippenquergang,8,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Ganzer Dach(s)lippenquergang,,to create
Tiefblick zum Dach,7-,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Tiefblick zum Dach,,to create
Halber Dach(s)lippenquergang,8,8-11,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Halber Dach(s)lippenquergang,,to create
Fluchtstollen,7,5-7,sport,UIAA,Hocheck,Oberer Nordgrat,Österreich Ost,,,Hocheck | Oberer Nordgrat | Fluchtstollen,,to create
Shorty,6c,Boulder,boulder,Font,Hocheck,Oberer Nordgrat (Boulder),Österreich Ost,,,Hocheck | Oberer Nordgrat (Boulder) | Shorty,,to create
Erdverwachsen,7-7,5-7,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Erdverwachsen,,to create
Sturmfest,7+/8-,5-7,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Sturmfest,,to create
Heimatleuchten,8-,8-11,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Heimatleuchten,,to create
Abendhirsch,7-,5-7,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Abendhirsch,,to create
Abendhirsch von rechts,6+,5-7,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Abendhirsch von rechts,,to create
Hoagascht,4+,1-4,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Hoagascht,,to create
Scheinheiligtum,5+,5-7,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Scheinheiligtum,,to create
Mogelpackung,7-,5-7,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Mogelpackung,,to create
Neue Abnormalität,8-,8-11,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Neue Abnormalität,,to create
Schöne Percht,7+/8-,5-7,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Schöne Percht,,to create
Schiaches Gretal,7-,5-7,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Schiaches Gretal,,to create
Eigenbrötler,7+,5-7,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Eigenbrötler,,to create
Wendehals,7+,5-7,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Wendehals,,to create
Gipfel der Frechheit,6+,5-7,sport,UIAA,Hocheck,Prinzwiesentürme,Österreich Ost,,,Hocheck | Prinzwiesentürme | Gipfel der Frechheit,,to create
Heilige Ruh,6c/7a trav,Boulder,boulder,Font,Hocheck,Prinzwiesentürme (Boulder),Österreich Ost,,,Hocheck | Prinzwiesentürme (Boulder) | Heilige Ruh,,to create
Gegenwind,4,1-4,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Gegenwind,,to create
Killerkrähen,5,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Killerkrähen,,to create
Schmazo Piazo,8-,8-11,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Schmazo Piazo,,to create
Mördermücken,6-,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Mördermücken,,to create
Plattenboulder,4,1-4,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Plattenboulder,,to create
Rissboulder,3,1-4,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Rissboulder,,to create
Nix Boulder,7,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Nix Boulder,,to create
Mystic Way,9-,8-11,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Mystic Way,,to create
Rattenschwanz,7-,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Rattenschwanz,,to create
Rats Eyes,6+,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Rats Eyes,,to create
Smoke Crack,5+,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Smoke Crack,,to create
Schleim!,4+,1-4,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Schleim!,,to create
Kurze Kante,4,1-4,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Kurze Kante,,to create
Scherz Wand,6,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Scherz Wand,,to create
Dawn Wall,6-,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Dawn Wall,,to create
Rollerball,8-,8-11,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Rollerball,,to create
Stone Free,9-,8-11,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Stone Free,,to create
Laika,10,8-11,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Laika,,to create
Crackless I,9+,8-11,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Crackless I,,to create
Der Zeck,6+,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Der Zeck,,to create
Crackless II,9+/10-,8-11,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Crackless II,,to create
Dope Crack,7-,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Dope Crack,,to create
Milchzahn,6+,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Milchzahn,,to create
Rückwand,4+,1-4,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Rückwand,,to create
Ausweiche,4,1-4,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Ausweiche,,to create
Sie baden gerade ihre Hände darin,9,8-11,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Sie baden gerade ihre Hände darin,,to create
Damokles Blöcke,6,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Damokles Blöcke,,to create
Ein absolutes Muss,3+,1-4,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Ein absolutes Muss,,to create
Absolution,5+,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Absolution,,to create
Bussgeld,6,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Bussgeld,,to create
Jenseitig,7+,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Jenseitig,,to create
Klassisch,5,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Klassisch,,to create
Grenzgang,6+/7-,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Grenzgang,,to create
Apokalyps Now,7,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Apokalyps Now,,to create
The Day After,5,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | The Day After,,to create
Sozialschmarotzer,9+/10-,8-11,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Sozialschmarotzer,,to create
Mein blonder Hund,8+,8-11,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Mein blonder Hund,,to create
Enerchi,9+,8-11,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Enerchi,,to create
Pan Tau,7+,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Pan Tau,,to create
Peter Pan,7-,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Peter Pan,,to create
Tau Frisch,5,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Tau Frisch,,to create
Jo Mei,7-,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Jo Mei,,to create
Romario,7-,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Romario,,to create
Pepeto,7+,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Pepeto,,to create
Brazil,7,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Brazil,,to create
Ein weiterer Schritt,5,5-7,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Ein weiterer Schritt,,to create
Der schmale Grat (Holzschlag),3+,1-4,sport,UIAA,Hocheck,Holzschlag,Österreich Ost,,,Hocheck | Holzschlag | Der schmale Grat (Holzschlag),,to create
Slimy,6c,Boulder,boulder,Font,Hocheck,Holzschlag (Boulder),Österreich Ost,,,Hocheck | Holzschlag (Boulder) | Slimy,,to create
Hinkelstein,5b,Boulder,boulder,Font,Hocheck,Holzschlag (Boulder),Österreich Ost,,,Hocheck | Holzschlag (Boulder) | Hinkelstein,,to create
Brösel,4a,Boulder,boulder,Font,Hocheck,Holzschlag (Boulder),Österreich Ost,,,Hocheck | Holzschlag (Boulder) | Brösel,,to create
Moonlight,6b,Boulder,boulder,Font,Hocheck,Holzschlag (Boulder),Österreich Ost,,,Hocheck | Holzschlag (Boulder) | Moonlight,,to create
Starke Susi,7a,Boulder,boulder,Font,Hocheck,Holzschlag (Boulder),Österreich Ost,,,Hocheck | Holzschlag (Boulder) | Starke Susi,,to create
Neutour ca 7-8,7-8,5-7,sport,UIAA,Wöllersdorf Hart,Linker Wandteil,Österreich Ost,,,Wöllersdorf Hart | Linker Wandteil | Neutour ca 7-8,,to create
Hollywood,7+,5-7,sport,UIAA,Wöllersdorf Hart,Linker Wandteil,Österreich Ost,,,Wöllersdorf Hart | Linker Wandteil | Hollywood,,to create
Beverly Hills,9-,8-11,sport,UIAA,Wöllersdorf Hart,Linker Wandteil,Österreich Ost,,,Wöllersdorf Hart | Linker Wandteil | Beverly Hills,,to create
Kaui,7-,5-7,sport,UIAA,Wöllersdorf Hart,Linker Wandteil,Österreich Ost,,,Wöllersdorf Hart | Linker Wandteil | Kaui,,to create
Hawai,6+,5-7,sport,UIAA,Wöllersdorf Hart,Linker Wandteil,Österreich Ost,,,Wöllersdorf Hart | Linker Wandteil | Hawai,,to create
Maui,4,1-4,sport,UIAA,Wöllersdorf Hart,Linker Wandteil,Österreich Ost,,,Wöllersdorf Hart | Linker Wandteil | Maui,,to create
Neutour,5+,5-7,sport,UIAA,Wöllersdorf Hart,Linker Wandteil,Österreich Ost,,,Wöllersdorf Hart | Linker Wandteil | Neutour,,to create
Wizo,9-,8-11,sport,UIAA,Wöllersdorf Hart,Linker Wandteil,Österreich Ost,,,Wöllersdorf Hart | Linker Wandteil | Wizo,,to create
Putzorgie,5,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Putzorgie,,to create
Fistful of Power,7,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Fistful of Power,,to create
Das Knie ist hie,8-,8-11,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Das Knie ist hie,,to create
Il Gufo,8,8-11,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Il Gufo,,to create
